product_type,description
eye_makeup,sometimes emotion run high la photo studio developed longwearing waterproof mascara handle teary moment rainy days—even dip pool it’s highimpact highgloss fiberrich product look flawless stay put 10 hour also delivers length volume thickness without clumping smudging flaking swipe instant drama face upflip brush vertical literally paint mascara individual lash specialty brush lengthens curl volumizes clump flake sweat humidity resistant starting base lash sweep mascara ingredient isododecane wateraquaeau ptfe dimethicone silylate sorbitan olivate kaolin trisiloxane sorbitan tristearate polyisobutene silica silylate pantethine panthenol rosmarinus officinalis rosemary leaf extract trihydroxystearin diisopropyl adipate cholesterol methicone copernicia cerifera carnauba waxcera carnaubacire de carnauba microcrystalline waxcera microcristallinacire microcristalline nylon6 silica nylon66 trimethylsiloxysilicate polyethylene terephthalate propylene carbonate quaternium90 bentonite hectorite caprylyl glycol hexylene glycol phenoxyethanol magnesium salicylate mica titanium dioxide ci 77891 iron oxide ci 77491 ci 77492 ci 77499 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 ci 42090 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 ci 19140 yellow 5 lake ci 19140 ilniln40713 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient sometimes emotion run high la photo studio developed longwearing waterproof mascara handle teary moment rainy days—even dip pool it’s highimpact highgloss fiberrich product look flawless stay put 10 hour also delivers length volume thickness without clumping smudging flaking swipe instant drama face upflip brush vertical literally paint mascara individual lash specialty brush lengthens curl volumizes clump flake sweat humidity resistant starting base lash sweep mascara ingredient isododecane wateraquaeau ptfe dimethicone silylate sorbitan olivate kaolin trisiloxane sorbitan tristearate polyisobutene silica silylate pantethine panthenol rosmarinus officinalis rosemary leaf extract trihydroxystearin diisopropyl adipate cholesterol methicone copernicia cerifera carnauba waxcera carnaubacire de carnauba microcrystalline waxcera microcristallinacire microcristalline nylon6 silica nylon66 trimethylsiloxysilicate polyethylene terephthalate propylene carbonate quaternium90 bentonite hectorite caprylyl glycol hexylene glycol phenoxyethanol magnesium salicylate mica titanium dioxide ci 77891 iron oxide ci 77491 ci 77492 ci 77499 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 ci 42090 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 ci 19140 yellow 5 lake ci 19140 ilniln40713 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,highprofile shoot la photo studio need sweep big glossy lashes—fast infused patentleather formula oliveoil complex deliver instasoft lash bring fluttery fabulosity home come volume mantra “crank up” every swipe give fiberrich length thickness without clump flake smudgesflip brush vertical literally paint mascara individual lash big tapered brush grab lash root ultracoverage glossy fiber sculpt lash clumping smudging flaking starting base lash sweep mascara formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients wateraquaeau stearic acid copernicia cerifera carnauba waxcera carnaubacire de carnauba polyisobutene polyvinyl acetate glyceryl stearate paraffin silica aminomethyl propanediol polyester5 isostearic acid pvp hydrogenated olive oil olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol panthenol pantethine kaolin nylon6 laureth4 hydroxyethylcellulose vpeicosene copolymer simethicone sodium polyacrylate ptfe caprylyl glycol hexylene glycol pentaerythrityl tetraditbutyl hydroxyhydrocinnamate polyaminopropyl biguanide chlorphenesin phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 ci 77492 ci 77499 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln37603 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient highprofile shoot la photo studio need sweep big glossy lashes—fast infused patentleather formula oliveoil complex deliver instasoft lash bring fluttery fabulosity home come volume mantra “crank up” every swipe give fiberrich length thickness without clump flake smudgesflip brush vertical literally paint mascara individual lash big tapered brush grab lash root ultracoverage glossy fiber sculpt lash clumping smudging flaking starting base lash sweep mascara formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients wateraquaeau stearic acid copernicia cerifera carnauba waxcera carnaubacire de carnauba polyisobutene polyvinyl acetate glyceryl stearate paraffin silica aminomethyl propanediol polyester5 isostearic acid pvp hydrogenated olive oil olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol panthenol pantethine kaolin nylon6 laureth4 hydroxyethylcellulose vpeicosene copolymer simethicone sodium polyacrylate ptfe caprylyl glycol hexylene glycol pentaerythrityl tetraditbutyl hydroxyhydrocinnamate polyaminopropyl biguanide chlorphenesin phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 ci 77492 ci 77499 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln37603 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,created extreme closeup shot la photo studio lash hide extreme lengthening formula take lash barely make‘emstarekick corner lash microtip falsie effect microdefining brush nabs every lash wavelength fiber stretch stroke clumping smudging flaking move brush zigzag motion coat lash base tip formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients wateraquaeau beeswaxcera albacire dabeille glyceryl stearate copernicia cerifera carnauba waxcera carnaubacire de carnauba synthetic beeswax acrylate copolymer c1836 acid triglyceride ricinus communis castor seed oil stearic acid palmitic acid acacia senegal gum butylene glycol aminomethyl propanol pisum sativum pea extract glycerin laureth21 nylon66 hydroxyethylcellulose myristic acid behenic acid arachidic acid oleic acid sodium dehydroacetate phenoxyethanol sodium benzoate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln41928 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient created extreme closeup shot la photo studio lash hide extreme lengthening formula take lash barely make‘emstarekick corner lash microtip falsie effect microdefining brush nabs every lash wavelength fiber stretch stroke clumping smudging flaking move brush zigzag motion coat lash base tip formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients wateraquaeau beeswaxcera albacire dabeille glyceryl stearate copernicia cerifera carnauba waxcera carnaubacire de carnauba synthetic beeswax acrylate copolymer c1836 acid triglyceride ricinus communis castor seed oil stearic acid palmitic acid acacia senegal gum butylene glycol aminomethyl propanol pisum sativum pea extract glycerin laureth21 nylon66 hydroxyethylcellulose myristic acid behenic acid arachidic acid oleic acid sodium dehydroacetate phenoxyethanol sodium benzoate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln41928 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,ultrabuildable mascara let easily take lash pg xrated second triple threat brush load maximum amount fiberloaded formula build look swipe lash isolated magnified megacoated hyper thick voluptuous lash photograph flawlessly closeup doubledipping requireddont forget prep always start photo finish lash primer extremely longwearing formula luscious lash day night triple threat brush isolates magnifies megacoats lash interlocking fiberloaded formula tripod fiber stack lash endless volume amplifies lift layer flake smudgefree sweep lash base lay volume stroke ingredient wateraquaeau kaolin acrylatesethylhexyl acrylate copolymer stearic acid myrica cerifera bayberry fruit wax silica polyisobutene glyceryl stearate paraffin aminomethyl propanediol polyvinyl acetate isostearic acid lecithin pantethine panthenol rosmarinus officinalis rosemary leaf extract olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol hydroxyethylcellulose 12hexanediol vpeicosene copolymer copernicia cerifera carnauba waxcera carnaubacire de carnauba laureth21 nylon6 sodium polyacrylate polysilicone11 laureth12 simethicone caprylyl glycol phenethyl alcohol hydrogenated olive oil disodium edta phenoxyethanol chloroxylenol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 ci 42090 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ultramarine ci 77007 yellow 5 ci 19140 yellow 5 lake ci 19140 ilniln42018 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient ultrabuildable mascara let easily take lash pg xrated second triple threat brush load maximum amount fiberloaded formula build look swipe lash isolated magnified megacoated hyper thick voluptuous lash photograph flawlessly closeup doubledipping requireddont forget prep always start photo finish lash primer extremely longwearing formula luscious lash day night triple threat brush isolates magnifies megacoats lash interlocking fiberloaded formula tripod fiber stack lash endless volume amplifies lift layer flake smudgefree sweep lash base lay volume stroke ingredient wateraquaeau kaolin acrylatesethylhexyl acrylate copolymer stearic acid myrica cerifera bayberry fruit wax silica polyisobutene glyceryl stearate paraffin aminomethyl propanediol polyvinyl acetate isostearic acid lecithin pantethine panthenol rosmarinus officinalis rosemary leaf extract olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol hydroxyethylcellulose 12hexanediol vpeicosene copolymer copernicia cerifera carnauba waxcera carnaubacire de carnauba laureth21 nylon6 sodium polyacrylate polysilicone11 laureth12 simethicone caprylyl glycol phenethyl alcohol hydrogenated olive oil disodium edta phenoxyethanol chloroxylenol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 ci 42090 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ultramarine ci 77007 yellow 5 ci 19140 yellow 5 lake ci 19140 ilniln42018 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,here rule la photo studio shoot without primer innovative formula lift lash new height amp volume make mascara last longerrefresh revive midday lash primer layer fresh mascara dualsided brushcomb coat separate prep amplifies mascara payoff layer mascara apply root tip lash grooved bristle side brush define separate comb ingredient wateraquaeau glyceryl stearate beeswaxcera albacire d¿abeille glycerin copernicia cerifera carnauba waxcera carnaubacire de carnauba stearic acid pvp hydrolyzed soy protein triethanolamine hydroxyethylcellulose caprylyl glycol phenoxyethanol ilniln39128 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient here rule la photo studio shoot without primer innovative formula lift lash new height amp volume make mascara last longerrefresh revive midday lash primer layer fresh mascara dualsided brushcomb coat separate prep amplifies mascara payoff layer mascara apply root tip lash grooved bristle side brush define separate comb ingredient wateraquaeau glyceryl stearate beeswaxcera albacire d¿abeille glycerin copernicia cerifera carnauba waxcera carnaubacire de carnauba stearic acid pvp hydrolyzed soy protein triethanolamine hydroxyethylcellulose caprylyl glycol phenoxyethanol ilniln39128 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,la photo studio makeup artist always looking product deliver big visual impact short time developed waterproof creaseresistant gel eye liner glide quickly easily dont worry wont tug pull delicate skin around eye gear create smudgeproof line precisely defined eye 60 second flat ready jet set goshow liner extra love remember seal jar tightly immediately use avoid dryoutuse eye liner brush arced liner brush 21 tightline added impact formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane polyethylene cyclopentasiloxane trimethylsiloxysilicate disteardimonium hectorite lecithin phenyl trimethicone hydrogenated polyisobutene barium sulfate propylene carbonate phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 black 2 ci 77266 bismuth oxychloride ci 77163 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 ilniln39580 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient la photo studio makeup artist always looking product deliver big visual impact short time developed waterproof creaseresistant gel eye liner glide quickly easily dont worry wont tug pull delicate skin around eye gear create smudgeproof line precisely defined eye 60 second flat ready jet set goshow liner extra love remember seal jar tightly immediately use avoid dryoutuse eye liner brush arced liner brush 21 tightline added impact formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane polyethylene cyclopentasiloxane trimethylsiloxysilicate disteardimonium hectorite lecithin phenyl trimethicone hydrogenated polyisobutene barium sulfate propylene carbonate phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 black 2 ci 77266 bismuth oxychloride ci 77163 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 ilniln39580 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,nothing make picture pop la photo studio like serious color packed intensity gel creativity magic marker instantly draw colorful cat eye graphic editorial look much more—no brush required bonus liner last 36 hour unique flexible tip versatile angled shape let create line thin thick creamy formula glide smooth line every time36 hour nonstop waterproof wear won’t transfer flake fade formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane dextrin palmitate polymethylsilsesquioxane synthetic fluorphlogopite ethylhexyl palmitate peg15lauryl dimethicone crosspolymer tocopherol dimethicone simethicone alumina dipropylene glycol phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln41260 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient nothing make picture pop la photo studio like serious color packed intensity gel creativity magic marker instantly draw colorful cat eye graphic editorial look much more—no brush required bonus liner last 36 hour unique flexible tip versatile angled shape let create line thin thick creamy formula glide smooth line every time36 hour nonstop waterproof wear won’t transfer flake fade formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane dextrin palmitate polymethylsilsesquioxane synthetic fluorphlogopite ethylhexyl palmitate peg15lauryl dimethicone crosspolymer tocopherol dimethicone simethicone alumina dipropylene glycol phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln41260 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,waterproof longwearing eye liner designed builtin sharpener ready action whenever open creamy easyto apply formula contains vitamin e jojoba oil protect skin also brings precise application bold definition 8 hour genius formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients cyclopentasiloxane synthetic wax isododecane polybutene hydrogenated cottonseed oil simmondsia chinensis jojoba seed oil ceresin ozokerite microcrystalline waxcera microcristallinacire microcristalline tocopherol ascorbyl palmitate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln39924 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient waterproof longwearing eye liner designed builtin sharpener ready action whenever open creamy easyto apply formula contains vitamin e jojoba oil protect skin also brings precise application bold definition 8 hour genius formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients cyclopentasiloxane synthetic wax isododecane polybutene hydrogenated cottonseed oil simmondsia chinensis jojoba seed oil ceresin ozokerite microcrystalline waxcera microcristallinacire microcristalline tocopherol ascorbyl palmitate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 black 2 ci 77266 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln39924 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,studio pro constantly creating new eye look softly subtle fullon cleopatra problem hauling ton different eye liner every shoot waterproof liquid liner designed precision tip pen give smooth controlled application every time easily draw thin thick line 1 sweep grab start smolderingfor fine line use tip pen hold pen tip pointing eye lid gently glide inner outer corner eye thicker line lay pen side gently gliding along lashline inner outer corner eye pressure applied thicker line achieve formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients wateraquaeau ammonium styreneacrylates copolymer butylene glycol alcohol ceteth20 sea saltmaris salsel marin polyglyceryl3 disiloxane dimethicone acrylatesoctylacrylamide copolymer sodium hydroxide pentylene glycol disodium edta phenoxyethanol black 2 ci 77266 iron oxide ci 77491 ci 77492 ci 77499 ilniln38816 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient studio pro constantly creating new eye look softly subtle fullon cleopatra problem hauling ton different eye liner every shoot waterproof liquid liner designed precision tip pen give smooth controlled application every time easily draw thin thick line 1 sweep grab start smolderingfor fine line use tip pen hold pen tip pointing eye lid gently glide inner outer corner eye thicker line lay pen side gently gliding along lashline inner outer corner eye pressure applied thicker line achieve formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients wateraquaeau ammonium styreneacrylates copolymer butylene glycol alcohol ceteth20 sea saltmaris salsel marin polyglyceryl3 disiloxane dimethicone acrylatesoctylacrylamide copolymer sodium hydroxide pentylene glycol disodium edta phenoxyethanol black 2 ci 77266 iron oxide ci 77491 ci 77492 ci 77499 ilniln38816 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,photo shoot crew can’t wait around makeup artist sharpen pencil that’s developed genius eye liner selfsharpens automatically every time twist cap formula contains 3d pearl added power pop ditch sharpener shimmer perfecttip precise liner save time—and keep eye makeup look totally pointone tiwst cap need twist sharpenreflective 3d pearl create can’tbebeat glimmereasy glide precise line every timeone twist cap sharpens liner eye always onpoint formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane synthetic wax pentaerythrityl stearatecapratecaprylateadipate calcium sodium borosilicate hydrogenated polydicyclopentadiene ethylenepropylene copolymer pentaerythrityl tetraisostearate polybutene calcium aluminum borosilicate polyethylene perfluorononyl dimethicone silica tin oxide pentaerythrityl tetraditbutyl hydroxyhydrocinnamate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln40399 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient photo shoot crew can’t wait around makeup artist sharpen pencil that’s developed genius eye liner selfsharpens automatically every time twist cap formula contains 3d pearl added power pop ditch sharpener shimmer perfecttip precise liner save time—and keep eye makeup look totally pointone tiwst cap need twist sharpenreflective 3d pearl create can’tbebeat glimmereasy glide precise line every timeone twist cap sharpens liner eye always onpoint formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane synthetic wax pentaerythrityl stearatecapratecaprylateadipate calcium sodium borosilicate hydrogenated polydicyclopentadiene ethylenepropylene copolymer pentaerythrityl tetraisostearate polybutene calcium aluminum borosilicate polyethylene perfluorononyl dimethicone silica tin oxide pentaerythrityl tetraditbutyl hydroxyhydrocinnamate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln40399 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,photo shoot crew can’t wait around makeup artist sharpen pencil that’s developed awardwinning kohl eye liner selfsharpens automatically every time twist cap highimpact waterproof formula packed pigment it’s precise pencil liner performs like liquid save time—and keep eye makeup look totally pointwant even intense eye look dont forget line inner rim major definition one tiwst cap need twist sharpenprecise waterproof nonflakinghyperpigmented kohl colorrich resultscan used inner rimone twist cap sharpens liner eye always onpoint formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane synthetic wax pentaerythrityl stearatecapratecaprylateadipate hydrogenated polydicyclopentadiene ethylenepropylene copolymer pentaerythrityl tetraisostearate polybutene polyethylene perfluorononyl dimethicone pentaerythrityl tetraditbutyl hydroxyhydrocinnamate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium oxide green ci 77288 chromium hydroxide green ci 77289 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 ilniln39793 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient photo shoot crew can’t wait around makeup artist sharpen pencil that’s developed awardwinning kohl eye liner selfsharpens automatically every time twist cap highimpact waterproof formula packed pigment it’s precise pencil liner performs like liquid save time—and keep eye makeup look totally pointwant even intense eye look dont forget line inner rim major definition one tiwst cap need twist sharpenprecise waterproof nonflakinghyperpigmented kohl colorrich resultscan used inner rimone twist cap sharpens liner eye always onpoint formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane synthetic wax pentaerythrityl stearatecapratecaprylateadipate hydrogenated polydicyclopentadiene ethylenepropylene copolymer pentaerythrityl tetraisostearate polybutene polyethylene perfluorononyl dimethicone pentaerythrityl tetraditbutyl hydroxyhydrocinnamate mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium oxide green ci 77288 chromium hydroxide green ci 77289 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 ilniln39793 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,pro la photo studio created transformative palette multiply eye shadow collection adding water shadow used asis transformed 1 4 way wet amp vibrancy go deeper make em metallic add sparkle whether youre feeling demure dramatic something else entirely reinvent eye second ultimate palettefor best result first wet brush press hand tissue remove excess water dip damp brush pan recommend damp brush versus wet one 14 shadow become 28—just activate water shadow transforms 1 4 way thanks coated pigment create multiple effect wet shadow wont glaze unique doubleended shadow brush included bonus full exposure mascara sample shapematters insert howtos 6 eye shape formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane dextrin palmitate polymethylsilsesquioxane synthetic fluorphlogopite ethylhexyl palmitate peg15lauryl dimethicone crosspolymer tocopherol dimethicone simethicone alumina dipropylene glycol phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln41321 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient pro la photo studio created transformative palette multiply eye shadow collection adding water shadow used asis transformed 1 4 way wet amp vibrancy go deeper make em metallic add sparkle whether youre feeling demure dramatic something else entirely reinvent eye second ultimate palettefor best result first wet brush press hand tissue remove excess water dip damp brush pan recommend damp brush versus wet one 14 shadow become 28—just activate water shadow transforms 1 4 way thanks coated pigment create multiple effect wet shadow wont glaze unique doubleended shadow brush included bonus full exposure mascara sample shapematters insert howtos 6 eye shape formulated without parabens sodium lauryl sulfate phthalates fragrance talcingredients isododecane dextrin palmitate polymethylsilsesquioxane synthetic fluorphlogopite ethylhexyl palmitate peg15lauryl dimethicone crosspolymer tocopherol dimethicone simethicone alumina dipropylene glycol phenoxyethanol mica titanium dioxide ci 77891 iron oxide ci 77491 iron oxide ci 77492 iron oxide ci 77499 aluminum powder ci 77000 bismuth oxychloride ci 77163 blue 1 lake ci 42090 carmine ci 75470 chromium hydroxide green ci 77289 chromium oxide green ci 77288 ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 manganese violet ci 77742 ultramarine ci 77007 yellow 5 lake ci 19140 ilniln41321 please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
eye_makeup,full beautifully groomed brow super popular studio developed brush help get look home quickly easily stiff bristled brush angled help create perfect ontrend eye brow use easily brush brow powder wax onto eye brow precise polished look wow day longshapematters smashbox studiosincludes 3 videointeractive get look card make contouring easy face eye brow shape touch card phone instantly activatecreated smashbox photo studio la shapematters palette contains9 photo op eye shadows2 brow powders1 brow wax2 highlighters1 bronzer1 contour powder1 doubleended shadowbrow brushshapematters insert howtosto use check shapematters insert precise howtos face brow eye shapefull beautifully groomed brow super popular studio developed brush help get look home quickly easily stiff bristled brush angled help create perfect ontrend eye brow use easily brush brow powder wax onto eye brow precise polished look wow day longshapematters smashbox studiosincludes 3 videointeractive get look card make contouring easy face eye brow shape touch card phone instantly activatecreated smashbox photo studio la shapematters palette contains9 photo op eye shadows2 brow powders1 brow wax2 highlighters1 bronzer1 contour powder1 doubleended shadowbrow brushshapematters insert howtosto use check shapematters insert precise howtos face brow eye shape
eye_makeup,see many different eye set la photo studio pro created musthave range neutral match them—yours includedincludes8 universally awesome neutral shades—from nude blacks—in blendable formulaslongwearing shimmer velvety smooth matte turn tone lusterwe see many different eye set la photo studio pro created musthave range neutral match them—yours includedincludes8 universally awesome neutral shades—from nude blacks—in blendable formulaslongwearing shimmer velvety smooth matte turn tone luster
eye_makeup,pro la studio use neutral eye shadow constantly love option turn luster that’s created palette longwearing shimmer velvetysmooth matte range 14 musthave shade they’re super blendable anything basic bonus palette come deluxe sample shadow primer help lock color 24 hoursfor added high wattage press shimmer shade center lid fingertipsmix matte shimmer cameraready lookcomes doubleended shadow brush14 universal shadow nude blacksbonus includes 24 hour shadow primer samplecheck shapematters eye chart featuring 6 eye shape inspirationpros la studio use neutral eye shadow constantly love option turn luster that’s created palette longwearing shimmer velvetysmooth matte range 14 musthave shade they’re super blendable anything basic bonus palette come deluxe sample shadow primer help lock color 24 hoursfor added high wattage press shimmer shade center lid fingertipsmix matte shimmer cameraready lookcomes doubleended shadow brush14 universal shadow nude blacksbonus includes 24 hour shadow primer samplecheck shapematters eye chart featuring 6 eye shape inspiration
